"Aceptar.diferencia","Participacion","Aula.abierta","Aprendizaje"
"Rechaza uno o más grupos",13,21,25
"Acepta todos los grupos",10,18,21
"Rechaza uno o más grupos",18,21,26
"Rechaza uno o más grupos",14,13,17
"Acepta todos los grupos",NA,11,23
"Rechaza uno o más grupos",19,21,28
"Acepta todos los grupos",10,14,17
"Rechaza uno o más grupos",11,22,24
"Acepta todos los grupos",15,16,21
"Rechaza uno o más grupos",9,18,21
"Rechaza uno o más grupos",15,18,23
"Acepta todos los grupos",19,17,24
"Rechaza uno o más grupos",15,22,23
"Rechaza uno o más grupos",12,7,25
"Rechaza uno o más grupos",16,22,28
"Acepta todos los grupos",11,12,10
"Rechaza uno o más grupos",11,NA,8
"Rechaza uno o más grupos",13,19,18
"Rechaza uno o más grupos",14,17,23
"Rechaza uno o más grupos",13,17,14
"Rechaza uno o más grupos",15,20,21
"Rechaza uno o más grupos",15,18,14
"Acepta todos los grupos",19,22,24
"Rechaza uno o más grupos",13,17,19
"Rechaza uno o más grupos",NA,16,21
"Rechaza uno o más grupos",19,21,22
"Rechaza uno o más grupos",10,6,16
"Rechaza uno o más grupos",15,23,25
"Rechaza uno o más grupos",11,11,21
"Rechaza uno o más grupos",15,21,19
"Rechaza uno o más grupos",16,20,18
"Acepta todos los grupos",14,15,22
"Rechaza uno o más grupos",16,21,26
"Rechaza uno o más grupos",15,18,18
"Acepta todos los grupos",21,24,14
"Rechaza uno o más grupos",13,20,17
"Rechaza uno o más grupos",12,17,25
"Rechaza uno o más grupos",12,19,26
"Rechaza uno o más grupos",13,18,11
"Rechaza uno o más grupos",12,16,14
"Rechaza uno o más grupos",12,6,10
"Rechaza uno o más grupos",14,17,23
"Acepta todos los grupos",19,22,23
"Rechaza uno o más grupos",10,22,17
"Rechaza uno o más grupos",15,22,23
"Rechaza uno o más grupos",10,18,17
"Rechaza uno o más grupos",13,20,22
"Acepta todos los grupos",17,23,19
"Rechaza uno o más grupos",15,19,18
"Rechaza uno o más grupos",16,6,8
"Rechaza uno o más grupos",17,10,17
"Rechaza uno o más grupos",10,14,16
"Rechaza uno o más grupos",10,17,10
"Acepta todos los grupos",12,21,22
"Rechaza uno o más grupos",12,14,22
"Rechaza uno o más grupos",12,18,17
"Rechaza uno o más grupos",12,17,15
"Acepta todos los grupos",11,17,18
"Rechaza uno o más grupos",8,15,20
"Rechaza uno o más grupos",11,8,18
"Rechaza uno o más grupos",NA,20,21
"Rechaza uno o más grupos",15,23,27
"Rechaza uno o más grupos",13,19,17
"Rechaza uno o más grupos",10,17,13
"Rechaza uno o más grupos",NA,15,17
"Rechaza uno o más grupos",15,22,23
"Rechaza uno o más grupos",12,20,27
"Acepta todos los grupos",13,21,15
"Rechaza uno o más grupos",15,16,22
"Rechaza uno o más grupos",15,20,28
"Rechaza uno o más grupos",19,16,17
"Rechaza uno o más grupos",11,19,21
"Rechaza uno o más grupos",15,24,15
"Acepta todos los grupos",15,18,18
"Rechaza uno o más grupos",12,15,15
"Rechaza uno o más grupos",10,17,12
"Rechaza uno o más grupos",15,16,16
"Rechaza uno o más grupos",11,12,21
"Acepta todos los grupos",17,24,28
"Rechaza uno o más grupos",15,18,12
NA,15,18,7
"Acepta todos los grupos",15,23,28
"Rechaza uno o más grupos",13,18,15
"Rechaza uno o más grupos",11,12,7
"Rechaza uno o más grupos",9,24,21
"Acepta todos los grupos",14,17,18
"Rechaza uno o más grupos",9,18,7
NA,16,12,19
"Rechaza uno o más grupos",18,20,16
"Rechaza uno o más grupos",15,21,17
"Rechaza uno o más grupos",15,20,27
"Rechaza uno o más grupos",12,18,10
"Acepta todos los grupos",9,18,7
"Rechaza uno o más grupos",15,18,14
"Rechaza uno o más grupos",9,18,18
"Rechaza uno o más grupos",13,21,21
"Rechaza uno o más grupos",11,20,17
"Rechaza uno o más grupos",18,16,25
"Acepta todos los grupos",12,22,24
"Rechaza uno o más grupos",19,15,28
"Rechaza uno o más grupos",13,18,18
"Rechaza uno o más grupos",10,17,NA
"Rechaza uno o más grupos",18,21,28
"Rechaza uno o más grupos",17,20,28
"Rechaza uno o más grupos",12,17,22
"Rechaza uno o más grupos",12,14,21
"Rechaza uno o más grupos",12,22,23
"Acepta todos los grupos",10,16,26
"Rechaza uno o más grupos",12,15,18
"Rechaza uno o más grupos",9,16,19
"Rechaza uno o más grupos",11,17,22
"Acepta todos los grupos",10,14,21
"Rechaza uno o más grupos",11,15,15
"Acepta todos los grupos",10,11,15
"Rechaza uno o más grupos",19,24,28
"Rechaza uno o más grupos",12,14,28
"Rechaza uno o más grupos",11,22,24
"Rechaza uno o más grupos",12,23,28
"Rechaza uno o más grupos",13,19,19
"Rechaza uno o más grupos",15,22,24
"Acepta todos los grupos",14,14,24
"Rechaza uno o más grupos",11,23,25
"Rechaza uno o más grupos",14,16,20
"Rechaza uno o más grupos",14,NA,20
"Rechaza uno o más grupos",11,19,22
"Rechaza uno o más grupos",11,17,9
"Rechaza uno o más grupos",12,19,13
"Acepta todos los grupos",18,16,23
"Rechaza uno o más grupos",11,NA,8
"Rechaza uno o más grupos",10,10,13
